title,total_notes,mean_notes,weighted_average
Game of Thrones,20194,4.6691,4.543823543456001
Breaking Bad,12813,4.71966,4.526557717975692
Sherlock,7041,4.7049,4.4078175570086
Chernobyl,6300,4.69619,4.378932871549442
Friends,7076,4.6276,4.355707533264275
Le Seigneur des anneaux : Le Retour du roi,8099,4.56,4.3319136810973715
The Big Bang Theory,8851,4.5323,4.325812638338489
La Ligne verte,5749,4.64,4.323431758084976
The Queen's Gambit,7682,4.5591,4.322556091903351
Le Seigneur des anneaux : La Communauté de l'anneau,8686,4.51,4.306683704545414
Kaamelott,4237,4.7137,4.301122253958467
Le Seigneur des anneaux : Les Deux Tours,6976,4.52,4.279429525352775
Dexter,8543,4.47044,4.275483831181761
Vikings,5899,4.5406,4.264344547151562
Forrest Gump,6685,4.49,4.252117188574828
Peaky Blinders,4103,4.63612,4.250112401696101
Sense8,6266,4.4912,4.24240350690653
Le Roi lion,6752,4.47,4.240174758851122
Harry Potter à l'école des sorciers,11044,4.36,4.224161434982282
Fight Club,5824,4.48,4.223034037592288
Stranger Things,4527,4.53943,4.214742188954859
How I Met Your Mother,9142,4.3723,4.212358607944855
The Walking Dead,8927,4.3709,4.208499108497056
Black Mirror,5099,4.4866,4.204687051685365
The Dark Knight : Le Chevalier noir,6019,4.44,4.202400743508901
Malcolm in the Middle,4024,4.5577,4.202347504488922
Doctor Who (2005),2848,4.6984,4.199516571102693
The Good Place,6306,4.4191,4.195724516639261
Supernatural,3501,4.5973,4.195324333534996
Inception,9310,4.34,4.190505376268634
Django Unchained,6259,4.41,4.188608952533992
Harry Potter et les Reliques de la Mort - 2ème partie,9022,4.34,4.186988717636383
Brooklyn Nine-Nine,3421,4.5849,4.184096020780223
Shameless (US),2882,4.6572,4.182840122894025
Downton Abbey,3135,4.6147,4.18075949811552
Teen Wolf,5733,4.4155,4.1791249017223855
The Office (US),2760,4.6681,4.1781940929647625
The Vampire Diaries,7103,4.36295,4.17433714839425
Sons of Anarchy,3340,4.5698,4.1714608855391315
How to Get Away with Murder,4561,4.4545,4.1663836250349835
Gladiator,4791,4.44,4.165983882928388
Intouchables,11447,4.28,4.165461062859438
Retour vers le futur,5166,4.41,4.159757108623136
Harry Potter et le Prisonnier d'Azkaban,9721,4.29,4.1576968683373705
Le Voyage de Chihiro,3638,4.51,4.157049550958193
The Wire,2298,4.7132,4.155962397177431
L'Empire contre-attaque,4656,4.43,4.155376776694458
Hunter x Hunter (2011),2527,4.6549,4.152532214687237
Dix pour cent,3536,4.5074,4.1503609989673285
Grey's Anatomy,4216,4.4452,4.1477458746836415
Coco,3107,4.55,4.147072198170392
Interstellar,4914,4.4,4.145964704366595
This Is Us,2183,4.71049,4.1430093523357225
Attack on Titan,2346,4.6697,4.142435615236616
Naruto Shippuden,2666,4.6062,4.142339403774799
Death Note,3543,4.4905,4.141878233297197
Orphan Black,3851,4.4601,4.14050734870224
Lucifer,4609,4.4062,4.139718859517528
Desperate Housewives,7144,4.3112,4.139414922336927
Avengers : Infinity War,4366,4.42,4.139125197050514
Matrix,6085,4.34,4.138697922847866
Fringe,4049,4.4384,4.137125786798108
Le Retour du Jedi,4544,4.4,4.133859996139375
Suits,3957,4.439,4.1335951337450885
Le Château ambulant,2967,4.53,4.128366656435397
Mr. Robot,3552,4.4617,4.1272377484161
Homeland,4552,4.388,4.1271065058564576
House,4656,4.3808,4.12629524819376
Harry Potter et les Reliques de la Mort - 1ère partie,8693,4.26,4.124391713112494
Harry Potter et la Chambre des secrets,9868,4.24,4.121486963864485
Orange Is the New Black,6304,4.3065,4.12115473701021
La Guerre des étoiles,5094,4.35,4.120832576070023
American History X,3235,4.48,4.11998495508399
MINDHUNTER,3661,4.4379,4.11987427637638
Seven,3516,4.45,4.119344347635779
Band of Brothers,2162,4.6563,4.119030925138816
When They See Us,2348,4.6129,4.118676974326134
Buffy the Vampire Slayer,3595,4.4409,4.118377108277912
Pulp Fiction,4419,4.38,4.117937548432231
Arcane,2054,4.6777,4.11636372891417
Avengers : Endgame,3874,4.41,4.114187860468252
Shutter Island,5778,4.31,4.112568382044921
Narcos,3813,4.4005,4.10647275661391
Your Name.,2174,4.62,4.105598307696431
Harry Potter et la Coupe de feu,9340,4.22,4.101633856382632
True Detective,2880,4.4844,4.101113730539623
One Tree Hill,3552,4.4113,4.100806211431012
Dark,3804,4.3841,4.097215554451565
Demon Slayer: Kimetsu no Yaiba,1849,4.6847,4.096219560162178
Princesse Mononoké,2948,4.46,4.093678532991124
Zootopie,3900,4.37,4.093360886114625
Modern Family,2910,4.4629,4.092784516395733
The Truman Show,4181,4.35,4.092565910567717
Le bureau des légendes,1989,4.6305,4.091341145877589
Le Cinquième Élément,4831,4.31,4.089348344513443
Better Call Saul,2648,4.4841,4.085827171583275
Fullmetal Alchemist: Brotherhood,1772,4.6795,4.085298792313687
Naruto,2576,4.4926,4.084657662587932
Avatar: The Last Airbender,2000,4.6085,4.084049582459729
Scrubs,2596,4.4857,4.082980930036486
Community,3317,4.3955,4.081629912820778
Banshee,2818,4.4493,4.080799846004677
New Girl,4555,4.3071,4.07981782021891
WandaVision,4678,4.2982,4.078086146350454
Harry Potter et l'Ordre du Phénix,9153,4.19,4.077654183774224
Les Évadés,1928,4.61,4.077277698586569
Deadpool,5855,4.25,4.075536896212235
Bref.,3974,4.3319,4.075162400281062
Spartacus,2945,4.4173,4.073105963350996
La casa de papel,6600,4.2227,4.070424892579395
One Piece,1528,4.7271,4.0700845799162435
Fleabag,2107,4.5453,4.0695889583375084
Léon,3644,4.34,4.067120592865585
La Liste de Schindler,1965,4.56,4.0621332182842735
Six Feet Under,1804,4.6031,4.061654780103929
Retour vers le futur II,4623,4.27,4.059922599441897
Harry Potter et le Prince de sang-mêlé,8663,4.17,4.058442685124726
Person of Interest,2756,4.4086,4.058210552120167
Kingsman : Services secrets,4346,4.28,4.057975798866425
The Handmaid's Tale,2208,4.4946,4.0578190587626155
Gossip Girl,6319,4.2094,4.057130133126021
Big Little Lies,2836,4.3932,4.055627880142355
Assassination Classroom,2174,4.4949,4.0551872975018055
Les Gardiens de la Galaxie,5758,4.22,4.054413951444731
Parks and Recreation,1598,4.6496,4.053928962444956
Dragons,3302,4.34,4.052813562781273
Criminal Minds,2287,4.4648,4.051710324985883
Stargate SG-1,2114,4.4953,4.050400575449343
Spider-Man : New Generation,1956,4.53,4.0499329476573775
Pirates des Caraïbes : La Malédiction du Black Pearl,7694,4.17,4.04853897114267
The Originals,2933,4.3624,4.046269429642873
Marvel's Daredevil,4493,4.2486,4.043917898628758
Las Chicas del Cable,2305,4.4334,4.039958355052884
Jurassic Park,3613,4.29,4.039448766465063
The Mentalist,3883,4.2681,4.037001009293672
Les Figures de l'ombre,1908,4.5,4.034280146231671
Avengers,9232,4.13,4.033886041116377
Joker,3462,4.29,4.033787650758977
Mon voisin Totoro,2477,4.39,4.032968211657115
Atypical,2528,4.379,4.031298464084578
The 100,6503,4.1608,4.027509797410762
Hannibal,2620,4.3576,4.027175975008088
BoJack Horseman,1532,4.5901,4.026479290978802
The Crown,1811,4.49917,4.025003922897902
"Star Wars, épisode III - La Revanche des Sith",5166,4.19,4.02424739120332
Iron Man,6807,4.15,4.024219472479282
Le Cercle des poètes disparus,2405,4.38,4.024124221475692
Parasite,1903,4.47,4.022684010542982
Misfits,4147,4.2264,4.021811030133311
Le Silence des agneaux,2573,4.35,4.021120619610328
Prison Break,4969,4.1914,4.021109825399542
Pretty Little Liars,6517,4.1468,4.018332149314258
Monstres & Cie,5503,4.17,4.018034487622907
The Sopranos,1272,4.6753,4.0179845248213315
Mad Men,1829,4.4735,4.0173969049549
House of Cards (US),3109,4.2847,4.016896551346326
WALL·E,4300,4.21,4.016596578915336
Là-haut,5786,4.16,4.016385352506078
Il faut sauver le soldat Ryan,3136,4.28,4.015715411361057
Rick and Morty,1323,4.6402,4.015142489001374
Wednesday,2778,4.3121,4.014808579767002
Edward aux mains d'argent,4702,4.19,4.014540309229111
American Horror Story,3224,4.2695,4.014071508149301
Les Animaux Fantastiques,4620,4.19,4.01270537814338
Inglourious Basterds,4347,4.2,4.012053761895117
Le Comte de Monte-Cristo,1783,4.47,4.01195700839773
Vice-versa,4110,4.21,4.011584077209418
Dragon Ball Z,1399,4.594,4.011434820351135
Gilmore Girls,2014,4.41212,4.009901155687152
South Park,1242,4.6586,4.008918680264898
Tu ne tueras point,1636,4.5,4.008199067330089
Green Book : Sur les routes du Sud,1539,4.53,4.007876653366018
Once Upon a Time (2011),5117,4.164,4.00731720676688
Anne with an E,1423,4.5699,4.007060846258019
Bates Motel,2604,4.3141,4.006822192278496
Orelsan: Montre jamais ça à personne,1218,4.6617,4.006256695206632
Mulan,4113,4.2,4.006057113447265
The Good Wife,1773,4.4552,4.005785436528282
Marvel's The Punisher,3249,4.2508,4.005668017004983
Astérix & Obélix : Mission Cléopâtre,7586,4.11,4.005208001297515
N'oublie jamais,2304,4.35,4.005108211768731
Le Hobbit : Un voyage inattendu,7544,4.11,4.004799151883163
Outlander,1649,4.4857,4.004669850107236
Lost,4416,4.1839,4.004442224698474
The Dark Knight Rises,5844,4.14,4.004410686157997
The Americans (2013),1444,4.5512,4.0038061457711125
Futurama,1562,4.5032,4.00163522266825
The Boys,1828,4.4294,4.001340081208604
Queen Charlotte: A Bridgerton Story,1788,4.4323,3.9989569315276983
Sixième Sens,3336,4.23,3.998338092118689
Usual Suspects,1629,4.47,3.9974129628911843
Unbelievable,2823,4.2685,3.9966575728031506
Revenge,3796,4.1984,3.996429994302728
Grimm,2587,4.2926,3.996346258612645
Fargo,1466,4.51842,3.9961225922812553
Sex Education,2876,4.26008,3.995048868299531
The Leftovers,2221,4.3372,3.994624048148152
Westworld,2714,4.273,3.993722808765331
Castle (2009),2545,4.2868,3.9916283159941455
Dragon Ball,1391,4.5284,3.990639043803609
Le Parrain,1664,4.44,3.9905799119799883
Le Prestige,2073,4.35,3.9900590989841787
The Last of Us,1707,4.42004,3.9875874898584094
Insaisissables,4817,4.14,3.987086696942304
Penny Dreadful,2395,4.2931,3.9864311556307412
Le Château dans le ciel,2196,4.32,3.9860703101388673
Ready Player One,3379,4.2,3.9844883136397335
Charmed,3769,4.1754,3.983248278973139
Arrête-moi si tu peux,3502,4.19,3.9832222028889253
Fairy Tail,1521,4.4589,3.9830893652514217
The Greatest Showman,1969,4.34,3.9790525761121853
The Simpsons,1210,4.5653,3.9787487858321464
Le Hobbit : La Désolation de Smaug,4375,4.14,3.978188898107194
Luther,1706,4.3921,3.977825344027247
Titanic,8583,4.06,3.977702716877519
The Haunting,2434,4.2658,3.9767957683505295
L'Étrange Noël de monsieur Jack,3406,4.18,3.9750871993394057
The Expanse,1466,4.4502,3.974784738643534
Aladdin,4457,4.13,3.974112121649159
Watchmen,1923,4.3328,3.9731332173449148
Will Hunting,2047,4.31,3.972739724757449
Arrow,6848,4.0717,3.9714792402445367
Gone Girl,3103,4.19,3.9701759756518413
Scandal (2012),2247,4.2697,3.9685147714012885
Indiana Jones et la dernière croisade,2899,4.2,3.967585436278144
Les Nouveaux Héros,2360,4.25,3.966282542559083
Jujutsu Kaisen,1001,4.6344,3.9660959900573762
Dragons 2,2332,4.25,3.9648519485003137
"Vaiana, la légende du bout du monde",3073,4.18,3.96424576898987
Silicon Valley,1337,4.46,3.964204227736341
Ozark,1640,4.3683,3.964170925740021
Raiponce,4469,4.11,3.962732492850747
Rome,1668,4.3519,3.9608901759096424
Kill Bill : Volume 1,4373,4.11,3.9608708019518364
Seul sur Mars,3111,4.17,3.9606274273566395
Maid,1450,4.40759,3.959929002359718
13 novembre : Fluctuat nec mergitur,1503,4.3892,3.9591004381926846
The X-Files,1483,4.3924,3.9582806271305793
"Alien, le huitième passager",2438,4.22,3.957268575724022
Hunger Games : L'Embrasement,6213,4.06,3.9570280761100527
True Blood,3668,4.1303,3.9564179518104576
Avatar,11878,4.01,3.956328423738144
"Moi, moche et méchant",4720,4.09,3.9554996688102557
The Last Kingdom,1334,4.4303,3.9551795982485713
Retour vers le futur III,4038,4.11,3.9539885480124317
Black Sails,1782,4.3058,3.953379666204726
Avant toi,1981,4.27,3.9532281564825533
Dune : Deuxième partie,1508,4.36,3.9502437872747396
Les Gardiens de la Galaxie Vol. 2,3855,4.11,3.9499537690817186
Mare of Easttown,1299,4.42417,3.949738871686337
Batman Begins,5101,4.07,3.949398326126201
The Mandalorian,1645,4.3228,3.949204453354345
Logan,2903,4.16,3.94877577890631
Spider-Man : Across the Spider-Verse,1112,4.5,3.9487244103443904
Rogue One : A Star Wars Story,3526,4.12,3.9473755550648053
L'Âge de glace,5851,4.05,3.9464696726214994
Requiem for a Dream,2709,4.17,3.9464338735282034
La Cité de la peur,2588,4.18,3.9462322034811916
Toy Story,4834,4.07,3.9454007287426744
Spider-Man : No Way Home,2183,4.22,3.944870997413442
La Grande Vadrouille,2262,4.21,3.9447096242973267
Squid Game,3976,4.09281,3.943147899127726
Alice in Borderland (2020),2206,4.2085,3.941362423073934
Les Indestructibles 2,2275,4.2,3.9411977565542653
House of the Dragon,1556,4.3194,3.9411365438606323
2 Broke Girls,2440,4.1795,3.9399051174743405
Gotham,3081,4.1276,3.9389016931168266
Gravity Falls,870,4.6069,3.938847682723599
Eternal Sunshine of the Spotless Mind,2134,4.21,3.9383684164373935
La La Land,2736,4.15,3.9382613513550853
My Hero Academia,932,4.559,3.9380714832704657
Le Monde de Nemo,5650,4.04,3.9377548044214
Dune : Première partie,2383,4.18,3.9376807405464387
Family Business,2689,4.1514,3.937214461932697
Le Dîner de cons,4684,4.06,3.937111052501232
Good Omens,1961,4.2285,3.93630092049831
Parasyte -the maxim-,1249,4.3947,3.9361975771861837
Bridgerton,1528,4.3102,3.935946192887396
Devious Maids,2648,4.1518,3.9358986658753183
Piège de cristal,2322,4.18,3.935014048353282
Bones,2130,4.1972,3.9330702429494
Prisoners,1813,4.24,3.931851980536798
The Grand Budapest Hotel,2004,4.21,3.931610118664544
Split,3084,4.11,3.930382691518199
A Star is Born,2501,4.15,3.92956533904618
Les Aventuriers de l'arche perdue,2750,4.13,3.9295466203353278
Reign (2013),2192,4.1752,3.927186637728107
The Man in the High Castle,1813,4.2267,3.9270619725908307
Dragons 3 : Le monde caché,1314,4.34,3.9269201477447058
One-Punch Man,1129,4.40567,3.926396390809711
Shrek,6332,4.01,3.925169357272296
Thor : Ragnarok,3439,4.08,3.924465896399736
Andor,1178,4.3769,3.9240307047106713
Monster (2022),2651,4.1245,3.9236839867204094
Bleach,1131,4.3935,3.9234538993617285
Les Infiltrés,1674,4.24,3.923101709912613
Severance,927,4.49299,3.9225710221847256
Astérix,1118,4.3918,3.921607575483347
Le Bazar de la Charité,1986,4.1853,3.921226938740588
Hunger Games,10644,3.97,3.920844058422088
